productId,name=,Brand,mrpDecimal,salePriceDecimal,discountDecimal,discountPercent
2988615,23 Yards Invigorating Body Wash For Him - 200ml,23 YARDS,499 TK,474.05,24.95,5 %
3571079,Plum Bodylovin Oopsie Daisy Shower Gel- 240 Ml,PLUM,380 TK,292.60,87.40,23 %
3900234,Bbb Better Body Bombay Aloe & Coconut Hydrating Body Lotion | For Dry & Sensitive Skin (300ml),BBB BETTER BODY BOMBAY,599 TK,599.00,,0 %
3693954,Gemblue Biocare Ubtan Body Yogurt 200ml,GEMBLUE BIOCARE,450 TK,441.00,9.00,2 %
3693938,Gemblue Biocare Romance Body Lotion 500ml,GEMBLUE BIOCARE,275 TK,264.00,11.00,4 %
3489015,Soulflower Lemongrass Haldi Soap 150gm,SOULFLOWER,300 TK,234.00,66.00,22 %
3625830,Khadi Natural Basil Essential Oil 15 Ml,KHADI NATURAL,399 TK,303.24,95.76,24 %
3688809,Mancode Charcoal Scrub 100gm,MANCODE,350 TK,248.50,101.50,29 %
3622920,Khadi Natural Green Tea & Mint Body Wash Sls & Paraben Free 210 Ml,KHADI NATURAL,299 TK,227.24,71.76,24 %
214081,No Scars Soap 150gm,NO SCARS,166 TK,139.86,26.64,16 %
8294,Venusia Moisturizing Bathing Soap With Shea & Aloe Butter Hydrated & Supple Skin Ph Balanced 75g,VENUSIA,225 TK,175.89,49.61,22 %
3689004,Sweet Heart Orange Paris Tower Long Lasting Eau De Perfume 70ml,SWEET HEART,450 TK,427.50,22.50,5 %
3582911,Sirona Marshmallow Body Wash For Gentle Cleansing & Deep Hydration For Men & Women- 200 Ml,SIRONA,349 TK,164.03,184.97,53 %
3693936,Gemblue Biocare Moisturizing Body Milk Body Lotion 500ml,GEMBLUE BIOCARE,275 TK,264.00,11.00,4 %
170388,Epi Plus Lotion 100ml,EPI PLUS,199 TK,145.27,53.73,27 %
181804,Dershine Soap 75gm,DERSHINE,95 TK,66.50,28.50,30 %
3693943,Gemblue Biocare Soothing Body Milk 500ml,GEMBLUE BIOCARE,275 TK,264.00,11.00,4 %
3688930,"Mancode Hydro Wash 3 In 1 ( Body+face+hair ), 450ml",MANCODE,499 TK,269.46,229.54,46 %
23798,Parasoft Shower Gel,PARASOFT,286 TK,200.20,85.80,30 %
212754,Inostretch  Cream  Bottle Of 60 G,INOSTRETCH,890 TK,890.00,,0 %
506478,Vivel Lavender And Almond Oil Body Wash Bottle Of 200 Ml,VIVEL,80 TK,60.00,20.00,25 %
3877475,"Wow Skin Science Energy 2-in-1 Shampoo + Body Wash - No Parabens, Sulphate, Silicones (250 Ml)",WOW SKIN SCIENCE,349 TK,310.61,38.39,11 %
215156,Nivea Water Lily Body Wash & Shower Gel 250 Ml,NIVEA,199 TK,169.15,29.85,15 %
3597219,Khadi Organique Ayurvedic Handmade Herbal Soap Kit - Set Of 6,KHADI ORGANIQUE,349 TK,254.77,94.23,27 %
237360,Axe Signature Denim Cologne Talcum Powder Bottle Of 100 G,AXE,78 TK,78.00,,0 %
529777,Mothercare All We Know Baby Bath Milk - 300ml,MOTHERCARE,379 TK,322.15,56.85,15 %
502684,Dettol & Moms Bathing Soap Tulsi - 125gm ( Buy 3 Get 1 ),DETTOL,195 TK,185.25,9.75,5 %
3010710,Nivea Fresh Pure Body Wash & Shower Gel 125 Ml,NIVEA,125 TK,102.50,22.50,18 %
232234,Boro Plus Cocoa Soft Body Lotion Bottle Of 400 Ml,BORO PLUS,345 TK,345.00,,0 %
208099,Neko Daily Hygiene Soap 24 Hours Germ Protection - 100g ( Pack Of 1 ),NEKO,70 TK,49.70,20.30,29 %
237364,Axe Signature Pulse Cologne Talc 100 G,AXE,78 TK,78.00,,0 %
13052,New Zingisol Lotion 15ml,ZINGISOL,49 TK,39.28,9.82,20 %
3688853,Royal Mirage Emerald Long Lasting Imported Eau De Cologne Spary 120ml,ROYAL MIRAGE,1100 TK,1001.00,99.00,9 %
3048024,Boro Plus Doodh Kesar Body Lotion 300 Ml,BORO PLUS,290 TK,203.00,87.00,30 %
3689015,Sweet Heart 919 Paris Red Eau De Perfume 50ml,SWEET HEART,450 TK,427.50,22.50,5 %
86731,White Tone Face Powder 70gm,WHITETONE,115 TK,106.95,8.05,7 %
3877466,"Wow Skin Science Apple Cider Vinegar Foaming Body Wash - No Parabens, Sulphate, Silicones - 250ml",WOW SKIN SCIENCE,339 TK,247.47,91.53,27 %
3499986,Nivea Soft Light Moisturising Cream - 500ml,NIVEA,599 TK,509.15,89.85,15 %
2988427,Dove Pink Rosa Beauty Bathing Soap - 100 G,DOVE,70 TK,70.00,,0 %
529861,Vaseline Intensive Care Cocoa Glow Body Lotion -100 Ml,VASELINE,105 TK,105.00,,0 %
10171,Ethiglo Soap 75gm,ETHIGLO,99 TK,74.25,24.75,25 %
215161,Nivea Smooth Milk With Shea Butter Body Lotion Bottle Of 400 Ml,NIVEA,425 TK,369.75,55.25,13 %
214447,Dettol Skincare Moisturizing Bathing Soap Bar With Glycerine (pack Of 4 - 75g Each),DETTOL,110 TK,86.90,23.10,21 %
223744,New Mederma Advanced Plus Tube Of 10gm Scar Gel,MEDERMA,485 TK,412.25,72.75,15 %
237506,Shower To Shower Super Cool Talcum Powder Bottle Of 150 G,SHOWER TO SHOWER,115 TK,109.25,5.75,5 %
3563050,Everyuth Naturals Body Lotion Soothing Citrus Aloe 200ml,EVERYUTH,250 TK,170.00,80.00,32 %
